CÓDIGO,NOME,IMAGEM,CNPJ,SETOR ECONÔMICO,SUBSETOR,SEGMENTO / ADM / PAÍS,TIPO,SEGMENTO
MWET3,Wetzel SA,https://bastter.com/mercado/images/acao/MWET.gif,84.683.671/0001-94,Bens Industriais,Material de Transporte,Material Rodoviário,Ação,
MWET4,Wetzel SA Preference Shares,https://bastter.com/mercado/images/acao/MWET.gif,84.683.671/0001-94,Bens Industriais,Material de Transporte,Material Rodoviário,Ação,
SHUL4,Schulz SA Preference Shares,https://bastter.com/mercado/images/acao/SHUL.gif,84.693.183/0001-68,Bens Industriais,Máquinas e Equipamentos,"Motores, Compressores e Outros",Ação,
WEGE3,Weg SA,https://bastter.com/mercado/images/acao/WEGE.gif,84.429.695/0001-11,Bens Industriais,Máquinas e Equipamentos,"Motores, Compressores e Outros",Ação,NM
EALT3,Electro Aco Altona SA,https://bastter.com/mercado/images/acao/EALT.gif,82.643.537/0001-34,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,Ação,
EALT4,Electro Aco Altona SA Preference Shares,https://bastter.com/mercado/images/acao/EALT.gif,82.643.537/0001-34,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,Ação,
BDLL4,Bardella SA Industrias Mecanicas Preference Shares,https://bastter.com/mercado/images/acao/BDLL.gif,60.851.615/0001-53,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,Ação,
BDLL4,Bardella SA Industrias Mecanicas Preference Shares,https://bastter.com/mercado/images/acao/BDLL.gif,60.851.615/0001-53,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,Ação,
ROMI3,Industrias Romi SA,https://bastter.com/mercado/images/acao/ROMI.gif,56.720.428/0001-63,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,Ação,NM
INEP3,Inepar SA Industria e Construcoes,https://bastter.com/mercado/images/acao/INEP.gif,76.627.504/0001-06,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,Ação,
INEP4,Inepar SA Industria e Construcoes Preference Shares,https://bastter.com/mercado/images/acao/INEP.gif,76.627.504/0001-06,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,Ação,
KEPL3,Kepler Weber SA,https://bastter.com/mercado/images/acao/KEPL.gif,91.983.056/0001-69,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,Ação,
FRIO3,Metalfrio Solutions SA,https://bastter.com/mercado/images/acao/FRIO.gif,04.821.041/0001-08,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,Ação,NM
NORD3,Nordon Industrias Metalurgicas SA,https://bastter.com/mercado/images/acao/NORD.gif,60.884.319/0001-59,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,Ação,
PTCA3,Pratica Klimaquip Industria e ComercioSA,https://bastter.com/mercado/images/acao/PTCA.gif,08.574.411/0001-00,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,Ação,M2
PTCA11,Pratica Klimaquip Industria e ComercioSA Preference Shares,https://bastter.com/mercado/images/acao/PTCA.gif,08.574.411/0001-00,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,Ação,M2
MTSA3,Metisa Metalurgica Timboense SA,https://bastter.com/mercado/images/acao/MTSA.gif,86.375.425/0001-09,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Construção e Agrícolas,Ação,
MTSA4,Metisa Metalurgica Timboense SA Preference Shares,https://bastter.com/mercado/images/acao/MTSA.gif,86.375.425/0001-09,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Construção e Agrícolas,Ação,
STTR3,Stara SA Industria de Implmnts Agricolas,https://bastter.com/mercado/images/acao/STTR.gif,91.495.499/0001-00,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Construção e Agrícolas,Ação,MA
TASA3,Taurus Armas SA,https://bastter.com/mercado/images/acao/TASA.gif,92.781.335/0001-02,Bens Industriais,Máquinas e Equipamentos,Armas e Munições,Ação,N2
TASA4,Taurus Armas SA Preference Shares,https://bastter.com/mercado/images/acao/TASA.gif,92.781.335/0001-02,Bens Industriais,Máquinas e Equipamentos,Armas e Munições,Ação,N2
